Season,Team,W,,,,,
2013-14,Brooklyn Nets ,44,,,,,
2013-14,Charlotte Bobcats ,43,,,,,
2013-14,Chicago Bulls ,48,,,,,
2013-14,Cleveland Cavaliers,33,,,,,
2013-14,Detroit Pistons,29,,,,,
2013-14,Indiana Pacers ,56,,,,,
2013-14,Miami Heat ,54,,,,,
2013-14,Milwaukee Bucks,15,,,,,
2013-14,New York Knicks,37,,,,,
2013-14,Orlando Magic,23,,,,,
2013-14,Philadelphia 76ers,19,,,,,
2013-14,Toronto Raptors ,48,,,,,
2013-14,Washington Wizards ,44,,,,,
2014-15,Dallas Mavericks ,50,,,,,
2014-15,Denver Nuggets,30,,,,,
2014-15,Golden State Warriors ,67,,,,,
2014-15,Houston Rockets ,56,,,,,
2014-15,Los Angeles Clippers ,56,,,,,
2014-15,Los Angeles Lakers,21,,,,,
2014-15,Memphis Grizzlies ,55,,,,,
2014-15,Minnesota Timberwolves,16,,,,,
2014-15,New Orleans Pelicans ,45,,,,,
2014-15,Oklahoma City Thunder,45,,,,,
2014-15,Phoenix Suns,39,,,,,
2014-15,Portland Trail Blazers ,51,,,,,
2014-15,Sacramento Kings,29,,,,,
2014-15,San Antonio Spurs ,55,,,,,
2014-15,Utah Jazz,38,,,,,
2014-15,Atlanta Hawks ,60,,,,,
2014-15,Boston Celtics ,40,,,,,
2014-15,Brooklyn Nets ,38,,,,,
2014-15,Charlotte Hornets,33,,,,,
2014-15,Chicago Bulls ,50,,,,,
2014-15,Cleveland Cavaliers ,53,,,,,
2014-15,Detroit Pistons,32,,,,,
2014-15,Indiana Pacers,38,,,,,
2014-15,Miami Heat,37,,,,,
2014-15,Milwaukee Bucks ,41,,,,,
2014-15,New York Knicks,17,,,,,
2014-15,Orlando Magic,25,,,,,
2014-15,Philadelphia 76ers,18,,,,,
2014-15,Toronto Raptors ,49,,,,,
2014-15,Washington Wizards ,46,,,,,
2015-16,Golden State Warriors ,73,,,,,
2015-16,San Antonio Spurs ,67,,,,,
2015-16,Oklahoma City Thunder ,55,,,,,
2015-16,Los Angeles Clippers ,53,,,,,
2015-16,Portland Trail Blazers ,44,,,,,
2015-16,Dallas Mavericks ,42,,,,,
2015-16,Memphis Grizzlies ,42,,,,,
2015-16,Houston Rockets ,41,,,,,
2015-16,Utah Jazz,40,,,,,
2015-16,Sacramento Kings,33,,,,,
2015-16,Denver Nuggets,33,,,,,
2015-16,New Orleans Pelicans,30,,,,,
2015-16,Minnesota Timberwolves,29,,,,,
2015-16,Phoenix Suns,23,,,,,
2015-16,Los Angeles Lakers,17,,,,,
2015-16,Cleveland Cavaliers ,57,,,,,
2015-16,Toronto Raptors ,56,,,,,
2015-16,Miami Heat ,48,,,,,
2015-16,Atlanta Hawks ,48,,,,,
2015-16,Boston Celtics ,48,,,,,
2015-16,Charlotte Hornets ,48,,,,,
2015-16,Indiana Pacers ,45,,,,,
2015-16,Detroit Pistons ,44,,,,,
2015-16,Chicago Bulls,42,,,,,
2015-16,Washington Wizards,41,,,,,
2015-16,Orlando Magic,35,,,,,
2015-16,Milwaukee Bucks,33,,,,,
2015-16,New York Knicks,32,,,,,
2015-16,Brooklyn Nets,21,,,,,
2015-16,Philadelphia 76ers,10,,,,,
2016-17,Golden State Warriors ,67,,,,,
2016-17,San Antonio Spurs ,61,,,,,
2016-17,Houston Rockets ,55,,,,,
2016-17,Los Angeles Clippers ,51,,,,,
2016-17,Utah Jazz ,51,,,,,
2016-17,Oklahoma City Thunder ,47,,,,,
2016-17,Memphis Grizzlies ,43,,,,,
2016-17,Portland Trail Blazers ,41,,,,,
2016-17,Denver Nuggets,40,,,,,
2016-17,New Orleans Pelicans,34,,,,,
2016-17,Dallas Mavericks,33,,,,,
2016-17,Sacramento Kings,32,,,,,
2016-17,Minnesota Timberwolves,31,,,,,
2016-17,Los Angeles Lakers,26,,,,,
2016-17,Phoenix Suns,24,,,,,
2016-17,Boston Celtics ,53,,,,,
2016-17,Cleveland Cavaliers ,51,,,,,
2016-17,Toronto Raptors ,51,,,,,
2016-17,Washington Wizards ,49,,,,,
2016-17,Atlanta Hawks ,43,,,,,
2016-17,Milwaukee Bucks ,42,,,,,
2016-17,Indiana Pacers ,42,,,,,
2016-17,Chicago Bulls ,41,,,,,
2016-17,Miami Heat,41,,,,,
2016-17,Detroit Pistons,37,,,,,
2016-17,Charlotte Hornets,36,,,,,
2016-17,New York Knicks,31,,,,,
2016-17,Orlando Magic,29,,,,,
2016-17,Philadelphia 76ers,28,,,,,
2016-17,Brooklyn Nets,20,,,,,
2017-18,Houston Rockets ,65,,,,,
2017-18,Golden State Warriors ,58,,,,,
2017-18,Portland Trail Blazers ,49,,,,,
2017-18,Oklahoma City Thunder ,48,,,,,
2017-18,Utah Jazz ,48,,,,,
2017-18,New Orleans Pelicans ,48,,,,,
2017-18,San Antonio Spurs ,47,,,,,
2017-18,Minnesota Timberwolves ,47,,,,,
2017-18,Denver Nuggets,46,,,,,
2017-18,Los Angeles Clippers,42,,,,,
2017-18,Los Angeles Lakers,35,,,,,
2017-18,Sacramento Kings,27,,,,,
2017-18,Dallas Mavericks,24,,,,,
